episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,waypoint_similarity,total_distance,max_speed,hard_brakes
46,-11.455069257905174,"Location(x=-109.073708, y=-40.334648, z=0.001851)","Location(x=-110.172417, y=-40.337967, z=0.000000)",12.262577056884766,145,1,2,13.401151797496535,0.05725247862982409,17.888056806172244,21.640328881912023,0
47,-12.254891939036948,"Location(x=-111.277191, y=-37.585564, z=0.001845)","Location(x=-110.134377, y=-37.593319, z=0.000000)",15.24412727355957,180,1,2,12.322841877970687,0.04998436689898819,20.45432189278654,22.292157003449766,0
48,-11.61901268078217,"Location(x=-109.097061, y=-40.443638, z=0.001676)","Location(x=-110.175171, y=-40.445953, z=0.000000)",12.259048700332642,146,1,2,13.236729167851532,0.057469265335597715,17.795170741028414,25.667196201026574,0
49,-24.874784126805714,"Location(x=-113.145912, y=-61.347187, z=0.001669)","Location(x=-112.309296, y=-61.413624, z=0.000000)",6.7880964279174805,81,1,1,10.227582475799828,0.13859442830870375,7.6243743896484375,17.01707721198495,0
50,-33.451158184316405,"Location(x=-113.302711, y=-65.030739, z=0.001588)","Location(x=-112.552071, y=-65.042595, z=0.000000)",6.15388560295105,73,1,1,6.041041181614891,0.27950927922820973,4.040079579222947,13.682914173724491,0
51,-25.367430530827917,"Location(x=-113.093475, y=-61.214272, z=0.001838)","Location(x=-112.295769, y=-61.272797, z=0.000000)",7.623173952102661,90,1,1,9.416182866934625,0.13613671022081153,7.7875299753504805,18.9682151711438,0
52,-15.399724628163394,"Location(x=-109.374092, y=-43.103088, z=0.001882)","Location(x=-110.273872, y=-43.099651, z=0.000000)",10.853139638900757,129,1,1,12.689006783594197,0.06841171175010982,15.094669138314202,19.929305375452127,0
53,-12.251318987993017,"Location(x=-111.750252, y=-49.658054, z=0.001718)","Location(x=-110.782867, y=-49.760937, z=0.000000)",13.866550207138062,164,1,1,12.812218344602146,0.05279416984329955,19.370010019745678,23.4625384520033,0
10,-9.085460020175635,"Location(x=-109.202477, y=-5.818953, z=0.001782)","Location(x=-110.356415, y=-5.859373, z=0.000000)",23.036123752593994,274,1,8,20.657938303552942,0.019255109860751,52.30941832647659,32.23600800817436,0
11,-24.937225898583375,"Location(x=-113.073692, y=-59.944073, z=0.001757)","Location(x=-112.163170, y=-60.037186, z=0.000000)",9.188395500183105,109,1,1,8.998908080071082,0.1157379122391522,9.026272268471075,19.945713336108106,0
12,-24.161621948502088,"Location(x=-113.061852, y=-60.126682, z=0.001833)","Location(x=-112.177750, y=-60.162399, z=0.000000)",8.218953132629395,98,1,1,9.805921144158503,0.1187477761723846,8.841641844599508,18.564287003823498,0
13,-25.33598155739793,"Location(x=-113.161568, y=-61.508781, z=0.001834)","Location(x=-112.324867, y=-61.579945, z=0.000000)",6.843315839767456,81,1,1,10.037700257206081,0.14101058372137276,7.474144475359935,20.3429576988916,0
14,-11.009234695544034,"Location(x=-111.329994, y=-39.732731, z=0.001778)","Location(x=-110.160248, y=-39.807827, z=0.000000)",11.866990566253662,142,1,2,13.942111417881604,0.05592396669271484,18.271658393670805,23.141034065113136,0
15,-17.81032340314217,"Location(x=-109.363785, y=-43.757313, z=0.001843)","Location(x=-110.306633, y=-43.741764, z=0.000000)",11.998541831970215,143,1,1,10.94775258158595,0.07134953297403208,14.431794899792294,18.633798124852767,0
16,-16.247271188234265,"Location(x=-109.372635, y=-43.479256, z=0.001756)","Location(x=-110.292313, y=-43.469151, z=0.000000)",10.816309213638306,128,1,1,12.466637996944717,0.06980290291191507,14.714252118603326,22.134603209524702,0
17,-10.912975473787942,"Location(x=-111.244362, y=-29.052019, z=0.001904)","Location(x=-110.184677, y=-29.079300, z=0.000000)",15.395153045654297,183,1,2,17.24065075029408,0.03494145101320978,29.13532558933366,31.446595556800553,0
18,-28.21086420214729,"Location(x=-113.277344, y=-62.359467, z=0.001618)","Location(x=-112.393188, y=-62.370605, z=0.000000)",7.699701547622681,88,1,1,8.22135741183482,0.16133264991761326,6.638561715837568,17.337473038513924,0
19,-21.569716096332037,"Location(x=-112.973839, y=-57.966484, z=0.001825)","Location(x=-111.899452, y=-58.061470, z=0.000000)",8.959123134613037,108,1,2,11.058325406906741,0.09442282035636536,11.006933026772458,18.85072655136716,0
20,-20.43401845940709,"Location(x=-109.722549, y=-47.865917, z=0.001709)","Location(x=-110.596130, y=-47.823513, z=0.000000)",7.90069317817688,94,1,1,11.962492562537786,0.1005445210818429,10.3391379120294,21.896923093960822,0
21,-6.931493217777216,"Location(x=-109.243492, y=-18.210619, z=0.001804)","Location(x=-110.264771, y=-18.250244, z=0.000000)",19.945638418197632,238,1,2,18.1350601716152,0.025311837430905378,39.874235953902826,30.778216090819335,0
22,-12.829502920696392,"Location(x=-109.257568, y=-40.351097, z=0.001765)","Location(x=-110.172943, y=-40.359276, z=0.000000)",14.567076683044434,173,1,5,18.0429130069851,0.035166466128654386,28.91717033390887,26.124115563995527,0
23,-11.351900957517266,"Location(x=-109.446022, y=-43.008900, z=0.001769)","Location(x=-110.269646, y=-43.011436, z=0.000000)",13.919371843338013,166,1,5,17.217523593806177,0.03883354047795316,26.378559644450434,30.75208280067312,0
24,-21.07230069077287,"Location(x=-112.908249, y=-58.596512, z=0.001711)","Location(x=-111.989273, y=-58.684242, z=0.000000)",8.235881805419922,98,1,1,11.498571471587754,0.1001333290745222,10.363660247123335,21.60788580282546,0
25,-25.248349943128275,"Location(x=-113.155273, y=-61.129280, z=0.001828)","Location(x=-112.287910, y=-61.192543, z=0.000000)",7.327926397323608,87,1,1,9.80995883190223,0.13430950461006622,7.85208828667237,18.813823516057795,0
26,-22.23236321591014,"Location(x=-113.057739, y=-60.061069, z=0.001774)","Location(x=-112.169968, y=-60.095253, z=0.000000)",7.094436168670654,84,1,1,11.514467379144639,0.1172809473491965,8.898768795421347,20.278540246286912,0
10,-4.763827017063772,"Location(x=-111.261452, y=-29.522263, z=0.001626)","Location(x=-110.181198, y=-29.549421, z=0.000000)",16.500163316726685,196,1,2,15.822865072953377,0.035549785069851486,28.61394707870204,29.199447996407933,0
11,-20.362577845509445,"Location(x=-112.829666, y=-56.628647, z=0.001766)","Location(x=-111.707909, y=-56.781937, z=0.000000)",10.04810905456543,119,1,2,11.271083595018101,0.08379217880711849,12.357414142985363,19.967329153715724,0
12,-17.002685282375158,"Location(x=-112.392654, y=-54.227497, z=0.001824)","Location(x=-111.356300, y=-54.383144, z=0.000000)",11.114969730377197,132,1,2,12.113943779695546,0.0699437126728698,14.746597856166773,19.197022985159297,0
13,-18.590407122336508,"Location(x=-112.797234, y=-57.951595, z=0.001891)","Location(x=-111.893692, y=-58.022552, z=0.000000)",7.732453346252441,92,1,1,12.979709759492378,0.09436445179452273,10.995129030197859,21.836735974654697,0
14,-7.15101665261993,"Location(x=-109.177208, y=-33.162830, z=0.001775)","Location(x=-110.154182, y=-33.202175, z=0.000000)",14.357412099838257,170,1,1,15.922502628138623,0.04065069418969623,24.977403141965624,24.438848914304387,0
15,-8.687709156536183,"Location(x=-109.119011, y=-34.626675, z=0.001857)","Location(x=-110.143425, y=-34.665779, z=0.000000)",13.37464690208435,159,1,2,16.063476272834034,0.04324264217599537,23.503518146229908,22.49354002674118,0
16,-9.402844819936234,"Location(x=-109.252998, y=-40.783909, z=0.001817)","Location(x=-110.184502, y=-40.785385, z=0.000000)",10.769476413726807,127,1,1,14.843304175505635,0.05898572700249113,17.385530683211982,26.076867823018034,0
17,-13.629018069320809,"Location(x=-109.305923, y=-41.127083, z=0.001834)","Location(x=-110.194794, y=-41.124783, z=0.000000)",12.125820875167847,143,1,1,12.91428959787238,0.06013432507417979,17.046119238133542,20.96921062068245,0
18,-19.91078844579769,"Location(x=-112.742149, y=-57.081036, z=0.001727)","Location(x=-111.772530, y=-57.213043, z=0.000000)",9.469001054763794,112,1,1,11.492742142742326,0.08724031627894598,11.869927083607763,20.35255274045925,0
19,-24.004483952581325,"Location(x=-113.064507, y=-59.681038, z=0.001760)","Location(x=-112.135124, y=-59.802139, z=0.000000)",8.710915565490723,103,1,1,9.803163153817383,0.11238007439815112,9.289731829805532,21.168074041117332,0
20,-21.515256619282148,"Location(x=-109.590935, y=-47.450233, z=0.001725)","Location(x=-110.559975, y=-47.405003, z=0.000000)",9.059077024459839,107,1,1,10.925246729941833,0.09655127410912932,10.768645888456376,20.286438250820595,0
21,-6.033981916216106,"Location(x=-109.068436, y=-33.784920, z=0.001811)","Location(x=-110.149574, y=-33.824883, z=0.000000)",16.244494438171387,193,1,2,13.66048784215056,0.041733572441454744,24.36427150820964,21.591120246523865,0
22,-24.420592908017813,"Location(x=-113.115952, y=-60.667393, z=0.001873)","Location(x=-112.239334, y=-60.718117, z=0.000000)",7.514692306518555,89,1,1,10.145958424696765,0.12663718098269275,8.308057514601387,18.22225594030512,0
23,-21.804559107830592,"Location(x=-112.863617, y=-57.922173, z=0.001816)","Location(x=-111.890701, y=-58.002399, z=0.000000)",9.785744428634644,116,1,1,10.331430186112264,0.09394998723558023,11.035639971145429,20.271224372776043,0
24,-3.0462045854427515,"Location(x=-109.190361, y=-41.976429, z=0.001897)","Location(x=-110.224159, y=-41.957802, z=0.000000)",18.33552575111389,201,1,2,14.672960467256228,0.03733217708170377,27.24023929060786,22.66698250017356,0
25,-27.279562901202667,"Location(x=-113.229477, y=-61.561871, z=0.001836)","Location(x=-112.330467, y=-61.641041, z=0.000000)",8.669464111328125,96,1,1,8.414694683987284,0.14235162131770818,7.428311321273213,18.593350644450258,0
26,-24.303866623581442,"Location(x=-113.180611, y=-60.763020, z=0.001800)","Location(x=-112.250290, y=-60.822105, z=0.000000)",7.201706409454346,85,1,1,10.50927136647394,0.12771809802326148,8.218356585362926,19.51950497069015,0
27,-4.98321685850917,"Location(x=-109.231079, y=-34.682961, z=0.001683)","Location(x=-110.143028, y=-34.721294, z=0.000000)",14.906907558441162,174,1,1,14.620278768192383,0.043505573927070905,23.46129566791933,29.429955620573583,0
28,-8.636500022865324,"Location(x=-109.075577, y=-34.039803, z=0.001725)","Location(x=-110.147690, y=-34.079712, z=0.000000)",18.21268892288208,204,1,2,12.785074925711813,0.042194992972249615,24.09995565985446,20.93038172241493,0
29,-21.33255900056475,"Location(x=-112.939507, y=-58.667046, z=0.001623)","Location(x=-111.999779, y=-58.759796, z=0.000000)",9.550923109054565,98,1,1,11.420690160298,0.10060352898635576,10.290570433542598,24.93330695916488,0
30,-23.26093094260085,"Location(x=-109.650291, y=-48.143353, z=0.001906)","Location(x=-110.619736, y=-48.087978, z=0.000000)",11.37278437614441,111,1,1,9.852094093591502,0.10350186990410344,10.071085190778831,18.288732867415728,0
31,-22.35419511900342,"Location(x=-112.831169, y=-58.626831, z=0.001817)","Location(x=-111.992050, y=-58.704155, z=0.000000)",11.445859670639038,112,1,1,9.987714955809649,0.10069826763597108,10.318463930569123,18.879221312219144,0
32,-10.797030390333529,"Location(x=-109.337486, y=-37.584801, z=0.001785)","Location(x=-110.134415, y=-37.603935, z=0.000000)",18.634435176849365,180,1,1,12.3721837696947,0.04955826850584343,20.569883956806734,22.90861068255156,0
33,-22.971038157186253,"Location(x=-113.049217, y=-59.883827, z=0.001836)","Location(x=-112.159416, y=-60.005257, z=0.000000)",8.292749166488647,91,1,1,10.830329154868506,0.11524435411203383,9.070568080293015,18.350626993302136,0
34,-25.241800114242796,"Location(x=-113.126099, y=-60.340622, z=0.001836)","Location(x=-112.203209, y=-60.386604, z=0.000000)",9.31311559677124,104,1,1,9.023329366410158,0.12210494768891127,8.635975355136907,18.5237053629278,0
35,-21.135513928779098,"Location(x=-112.878143, y=-57.901024, z=0.001673)","Location(x=-111.887878, y=-57.983398, z=0.000000)",9.548075675964355,108,1,1,11.104436197547132,0.09363294735885251,11.031767668057,22.705177423794257,0
36,1.0596873619708091,"Location(x=-110.953842, y=29.783554, z=0.001730)","Location(x=-110.178192, y=29.652777, z=0.000000)",36.536887407302856,409,1,17,23.273621001892487,0.01143805281013336,88.02470716673997,36.989887998342006,0
37,-7.318097334060116,"Location(x=-109.139908, y=-36.201603, z=0.001830)","Location(x=-110.134666, y=-36.233944, z=0.000000)",14.665203332901001,169,1,2,14.027566099930953,0.04638648067884228,21.88561996651697,23.128232635068017,0
38,-26.134328397512405,"Location(x=-113.155083, y=-60.850647, z=0.001659)","Location(x=-112.259285, y=-60.908714, z=0.000000)",9.634655237197876,102,1,1,8.631896829397343,0.13002373163310338,8.107480618054979,16.207603528747242,0
