episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,waypoint_similarity,total_distance,max_speed,hard_brakes
14,-20.616952992787972,"Location(x=-109.895737, y=-50.481308, z=0.001879)","Location(x=-110.850693, y=-50.393135, z=0.000000)",7.177555084228516,87,1,1,9.684699808390565,0.13647843899379836,7.746388613799354,18.233535327594513,0
15,-17.362056460476776,"Location(x=-111.312759, y=-39.869602, z=0.001796)","Location(x=-110.163109, y=-39.942158, z=0.000000)",13.042787313461304,158,1,2,12.482526551677172,0.05636478371021668,18.191337432876026,22.69205656690013,0
16,-8.121069912394299,"Location(x=-109.261353, y=-31.550568, z=0.001855)","Location(x=-110.166107, y=-31.589487, z=0.000000)",17.97281265258789,194,1,1,14.845058506344033,0.03823740275166747,26.582318002532702,26.344780860988493,0
17,-9.906334440270248,"Location(x=-109.299950, y=-39.928799, z=0.001791)","Location(x=-110.163162, y=-39.944534, z=0.000000)",14.370749235153198,140,1,1,14.134593887356619,0.05606646799721699,18.246380359691102,24.354260136980727,0
18,-19.040220430400016,"Location(x=-113.193893, y=-61.580452, z=0.001652)","Location(x=-112.331863, y=-61.656326, z=0.000000)",7.981290817260742,78,1,1,10.291401760533795,0.14339235054647168,7.383646250877064,17.974718360045937,0
19,-8.723517443669847,"Location(x=-111.890320, y=-49.195057, z=0.001877)","Location(x=-110.737755, y=-49.321938, z=0.000000)",15.348174571990967,149,1,0,14.373205471397792,0.051582645888950604,19.77127816330176,22.69717631300017,0
20,-18.010376128029815,"Location(x=-109.528473, y=-46.297909, z=0.001848)","Location(x=-110.467560, y=-46.245705, z=0.000000)",12.190216064453125,119,1,1,10.832403106575041,0.08690643277961191,11.901362935645011,20.599349600455174,0
21,-9.0073031769488,"Location(x=-109.225494, y=-33.319054, z=0.001842)","Location(x=-110.153030, y=-33.358105, z=0.000000)",17.224963665008545,174,1,1,15.433922408013853,0.040976990967524295,24.79217272537062,23.33355524528641,0
22,-11.541398032051617,"Location(x=-112.684967, y=-56.997696, z=0.001641)","Location(x=-111.759140, y=-57.123817, z=0.000000)",9.336658716201782,95,1,1,13.6391814409275,0.08654483389102614,11.916923500597477,26.082784490051466,0
23,-21.923760315746087,"Location(x=-113.281075, y=-62.114521, z=0.001647)","Location(x=-112.372673, y=-62.123436, z=0.000000)",8.322198867797852,84,1,1,8.897957272747883,0.1547728719544357,6.876050965860486,15.469688693812255,0
24,-20.63249079799351,"Location(x=-113.001381, y=-59.711437, z=0.001704)","Location(x=-112.137787, y=-59.824120, z=0.000000)",10.522217750549316,107,1,1,9.387789150513433,0.11316526527133458,9.241942522436148,20.759702835258768,0
25,-20.712240309694543,"Location(x=-113.173630, y=-61.966431, z=0.001676)","Location(x=-112.366196, y=-62.047001, z=0.000000)",6.820533752441406,82,1,1,9.330292294922751,0.15161550154852413,7.031494403840043,17.106614399182554,0
26,-21.844735395390586,"Location(x=-113.145378, y=-61.377270, z=0.001706)","Location(x=-112.312195, y=-61.444229, z=0.000000)",7.7876482009887695,94,1,1,8.779774273205273,0.13919571327368627,7.599433167866664,16.53746032811062,0
