Ambiente - Parametri:
target_speed: 20
max_iter: 4000
start_buffer: 10
train_freq: 1
save_freq: 50
start_ep: 0
max_dist_from_waypoint: 20

------------------------------------

Modello - Parametri:
num_actions_steer: 13
num_action_throttle: 13
state_dim: (1, 128, 128)
in_channels: 1
INFO:  Found the required file in cache!  Carla/Maps/Nav/Town10HD_Opt.bin
WARNING: cannot parse georeference: ''. Using default values.
WARNING: cannot parse georeference: ''. Using default values.
current epsilon 0.9240038
Episode 56 processed 163 reward -37.298188490783076 duration 5.403165817260742
Episode 57 processed 296 reward -5.215198555647004 duration 9.796506881713867
Episode 58 processed 504 reward -30.8969133222596 duration 16.65923500061035
Episode 59 processed 283 reward -46.313330952645046 duration 9.368647336959839
Episode 60 processed 355 reward -54.44786621110174 duration 11.743908643722534
Episode 61 processed 281 reward -20.082441666814056 duration 9.299232721328735
Episode 62 processed 273 reward -50.72731271281457 duration 9.033363580703735
Episode 63 processed 391 reward -7.927003248025524 duration 12.929973125457764
Episode 64 processed 190 reward -21.169345865475684 duration 6.296023607254028
Episode 65 processed 403 reward -5.586907494466315 duration 13.498188257217407
Episode 66 processed 441 reward -16.391971460335103 duration 14.577641010284424
Episode 67 processed 568 reward -58.11361554749951 duration 18.77183485031128
Episode 68 processed 311 reward -48.50709798969295 duration 10.290956974029541
Episode 69 processed 179 reward -46.287494454557724 duration 5.931883811950684
Episode 70 processed 197 reward -42.332443942312544 duration 6.529661417007446
Episode 71 processed 448 reward -17.79377411265399 duration 14.813985586166382
Episode 72 processed 505 reward -8.05775326643902 duration 16.692654371261597
Episode 73 processed 180 reward -41.45357204736714 duration 5.965318441390991
Episode 74 processed 299 reward -51.90206980707927 duration 9.890387296676636
Episode 75 processed 171 reward -41.606472578940846 duration 5.663769483566284
Episode 76 processed 141 reward -41.869607769530894 duration 4.679007530212402
Episode 77 processed 154 reward -22.93202801122324 duration 5.300100803375244
Episode 78 processed 268 reward -44.23686417784623 duration 8.870001077651978
Episode 79 processed 503 reward -14.404796773910853 duration 16.624271631240845
Episode 80 processed 288 reward -31.698646043395083 duration 9.529691457748413
Episode 81 processed 179 reward -46.92226670769128 duration 5.931989669799805
Episode 82 processed 309 reward -52.82270897506197 duration 10.22508192062378
Episode 83 processed 553 reward -9.412343104471294 duration 18.28531289100647
Episode 84 processed 621 reward -21.48862991520569 duration 20.519309282302856
Episode 85 processed 337 reward -34.05454449784893 duration 11.146117687225342
Episode 86 processed 185 reward -49.25836899479951 duration 6.132561683654785
target network updated
current epsilon 0.8860038
Episode 87 processed 355 reward -19.465717457042118 duration 11.741340637207031
Episode 88 processed 205 reward -43.49816583980764 duration 6.791115999221802
Episode 89 processed 268 reward -48.264795031288514 duration 9.1254563331604
Episode 90 processed 267 reward -50.01398477585404 duration 8.837130784988403
Episode 91 processed 675 reward -8.685929385151486 duration 22.303136825561523
Episode 92 processed 177 reward -46.89609135143063 duration 5.868048906326294
Episode 93 processed 351 reward -5.628625321208357 duration 11.61251449584961
Episode 94 processed 248 reward -50.78992102584606 duration 8.214196920394897
Episode 95 processed 226 reward -29.262633472649583 duration 7.484197616577148
Episode 96 processed 306 reward -15.18257992907748 duration 10.124643802642822
Episode 97 processed 223 reward -47.60950355113814 duration 7.386762380599976
Episode 98 processed 222 reward -34.129383415801 duration 7.354196310043335
Episode 99 processed 278 reward -58.20471036948455 duration 9.203488111495972
Episode 100 processed 265 reward -10.629597226140465 duration 8.768514156341553
Saved model with average reward = -14738.00485469456
Episode 101 processed 220 reward -43.5871290990936 duration 7.2910215854644775
Episode 102 processed 194 reward -28.883103893536955 duration 6.431090354919434
Episode 103 processed 185 reward -48.157832705990124 duration 6.133907318115234
Episode 104 processed 253 reward -5.110997297284394 duration 8.37588381767273
Episode 105 processed 244 reward -13.630104032284127 duration 8.362748861312866
Episode 106 processed 266 reward -44.406996464746754 duration 8.806007385253906
Episode 107 processed 337 reward -22.860127313987668 duration 11.146383047103882
Episode 108 processed 348 reward -29.403441776354395 duration 11.511218786239624
Episode 109 processed 198 reward -5.476377095500015 duration 6.56344199180603
Episode 110 processed 281 reward -40.43028539321355 duration 9.29922366142273
Episode 111 processed 418 reward -28.292475771707878 duration 13.820168018341064
Episode 112 processed 171 reward -29.273978433877247 duration 5.676187992095947
Episode 113 processed 163 reward -26.03002768429815 duration 5.407248020172119
Episode 114 processed 263 reward -5.176661855227326 duration 8.706202983856201
Episode 115 processed 184 reward -12.47383226715362 duration 6.101297378540039
Episode 116 processed 341 reward -8.086892619414623 duration 11.287447214126587
Episode 117 processed 335 reward -23.903109217061555 duration 11.071887016296387
Episode 118 processed 196 reward -39.21813263702744 duration 6.493268728256226
Episode 119 processed 223 reward -28.618248080504152 duration 7.385267734527588
Episode 120 processed 127 reward -29.70481660654898 duration 4.225326776504517
Episode 121 processed 474 reward -15.413403974728958 duration 15.665142059326172
Episode 122 processed 433 reward -22.80535552842301 duration 14.663217544555664
target network updated
current epsilon 0.8480038
Episode 123 processed 377 reward -14.23366750518662 duration 12.468485832214355
Episode 124 processed 141 reward -33.260217377936755 duration 4.680283546447754
Episode 125 processed 230 reward -37.93160697289825 duration 7.618499040603638
Episode 126 processed 256 reward -56.39496782296153 duration 8.474336385726929
Episode 127 processed 158 reward -36.46334413692493 duration 5.240070819854736
Episode 128 processed 322 reward -20.648576613693994 duration 10.649909019470215
Episode 129 processed 170 reward -39.39615100677217 duration 5.636305332183838
Episode 130 processed 195 reward -40.363307327646666 duration 6.461388349533081
Episode 131 processed 189 reward -33.90104263551987 duration 6.263911008834839
Episode 132 processed 146 reward -12.22532252612749 duration 4.8474204540252686
Episode 133 processed 130 reward -15.985602838507429 duration 4.314591646194458
Episode 134 processed 184 reward -42.7114849249705 duration 6.099778175354004
Episode 135 processed 130 reward -44.529358225222076 duration 4.317995548248291
Episode 136 processed 230 reward -41.265197252856964 duration 7.6153786182403564
Episode 137 processed 271 reward -18.247561895978233 duration 8.973974227905273
Episode 138 processed 225 reward -17.346846779777604 duration 7.449959993362427
Episode 139 processed 195 reward -6.8843250817479245 duration 6.461542129516602
Episode 140 processed 249 reward -52.95468903449968 duration 8.245214700698853
Episode 141 processed 206 reward -22.70394925616256 duration 6.845672607421875
Episode 142 processed 169 reward -32.494677814859884 duration 5.601186752319336
Episode 143 processed 203 reward -5.126542037209949 duration 6.72784686088562
Episode 144 processed 481 reward -6.794172076460262 duration 16.32775092124939
Episode 145 processed 184 reward -38.09216069010576 duration 6.0959792137146
Episode 146 processed 130 reward -39.575208693489294 duration 4.3147242069244385
Episode 147 processed 217 reward -48.33698763085532 duration 7.187971353530884
Episode 148 processed 191 reward -9.632258181951126 duration 6.329484224319458
Episode 149 processed 331 reward -11.892905211493051 duration 10.94770884513855
Episode 150 processed 249 reward -22.868086520236893 duration 8.243803977966309
Saved model with average reward = -10745.830206952265
Episode 151 processed 313 reward -18.53733307459122 duration 10.35970401763916
Episode 152 processed 191 reward -6.672721990254119 duration 6.3292176723480225
Episode 153 processed 162 reward -33.58180471717374 duration 5.373739004135132
Episode 154 processed 155 reward -21.94786897063575 duration 5.14713191986084
Episode 155 processed 151 reward -23.812795433923565 duration 5.008809566497803
Episode 156 processed 181 reward -40.122447272344665 duration 6.00016188621521
Episode 157 processed 130 reward -34.579007927428606 duration 4.316997766494751
Episode 158 processed 218 reward -56.8714030467945 duration 7.220178842544556
Episode 159 processed 212 reward -29.72481203456135 duration 7.0216639041900635
Episode 160 processed 306 reward -13.985642103801386 duration 10.128361463546753
Episode 161 processed 174 reward -32.97351911217647 duration 5.768932819366455
Episode 162 processed 177 reward -44.14138125959983 duration 5.868919610977173
Episode 163 processed 191 reward -20.931595607496007 duration 6.326768398284912
Episode 164 processed 162 reward -21.584497922614336 duration 5.373462200164795
Episode 165 processed 155 reward -32.47219296783278 duration 5.140883445739746
Episode 166 processed 254 reward -31.939511340999847 duration 8.412028789520264
Episode 167 processed 203 reward -43.016025942934846 duration 7.23375940322876
Episode 168 processed 259 reward -61.18683767702691 duration 8.567785501480103
Episode 169 processed 145 reward -37.3405277854239 duration 4.810977458953857
target network updated
current epsilon 0.8100038
