episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,waypoint_similarity,total_distance,max_speed
10,-30.98499266120158,"Location(x=-109.115547, y=-37.833405, z=0.001653)","Location(x=-110.135483, y=-37.851055, z=0.000000)",12.907926321029663,390,1,1,5.668469606367942,0.05023360875707164,20.44649835419841,17.865026686935746
11,-58.350802966302815,"Location(x=-113.108681, y=-60.281464, z=0.001664)","Location(x=-112.196251, y=-60.324635, z=0.000000)",16.74844217300415,498,1,1,1.910009764382604,0.12278449119272426,8.825166282360442,9.050065898895264
12,-51.94481733546889,"Location(x=-112.985924, y=-59.030437, z=0.001430)","Location(x=-112.050339, y=-59.133308, z=0.000000)",14.81058382987976,448,1,1,2.4363670192448015,0.10624233014229287,10.09712366736494,9.303016662597656
13,-53.74343950610065,"Location(x=-113.108864, y=-60.887959, z=0.001378)","Location(x=-112.262703, y=-60.941971, z=0.000000)",14.352328300476074,434,1,1,2.052624509977648,0.1320622015856072,8.246357219759375,9.313524055480958
14,-8.999608614561454,"Location(x=-109.070282, y=-24.481098, z=0.000854)","Location(x=-110.218384, y=-24.521467, z=0.000000)",29.16628932952881,883,1,6,4.149210488551248,0.030060150589716717,33.813375232508406,28.095793080745192
15,-29.697688441193357,"Location(x=-109.275017, y=-42.503105, z=-0.000224)","Location(x=-110.245476, y=-42.478584, z=0.000000)",13.094053030014038,396,1,1,4.331745278663216,0.06562580871999336,15.847005139337853,17.652751488823064
16,-24.54138709844475,"Location(x=-111.223793, y=-32.015057, z=0.000392)","Location(x=-110.162758, y=-32.042324, z=0.000000)",17.174177885055542,519,1,2,5.469636655429056,0.039105980793637904,26.220804864249658,20.283927512512644
17,-44.349685997761114,"Location(x=-109.048302, y=-37.062515, z=0.001865)","Location(x=-110.133385, y=-37.088581, z=0.000000)",23.88598394393921,723,1,2,3.1770060829994735,0.04852651809277514,21.269367557484657,16.59830676704326
18,-60.89061266864219,"Location(x=-113.047752, y=-59.646626, z=0.001485)","Location(x=-112.130608, y=-59.764988, z=0.000000)",20.58684253692627,623,1,1,1.6355965099969798,0.11402263633430215,9.474878488807008,9.34321804046631
19,-60.87853625039674,"Location(x=-113.117310, y=-60.625248, z=0.001105)","Location(x=-112.234772, y=-60.675358, z=0.000000)",15.476027965545654,466,1,1,1.971239558895521,0.12820270254848445,8.502113841008395,9.333183574676514
20,-38.11570561854698,"Location(x=-109.130867, y=-27.640188, z=0.001626)","Location(x=-110.195023, y=-27.680056, z=0.000000)",19.559937715530396,592,1,1,5.593568473480412,0.03336198825645794,30.639146040659398,17.40512462604054
21,-43.82010742891707,"Location(x=-109.124107, y=-36.346527, z=0.001324)","Location(x=-110.134232, y=-36.377975, z=0.000000)",20.657643795013428,625,1,1,3.800159386184817,0.04690824583263237,21.959407902613748,15.323491245937273
22,-32.64382923801018,"Location(x=-113.167458, y=-61.119690, z=0.000959)","Location(x=-112.287079, y=-61.184025, z=0.000000)",9.433334350585938,285,1,1,3.065459373960279,0.13472656677093747,8.028624942526221,16.17888482040595
23,-32.35690525440931,"Location(x=-113.009811, y=-59.980305, z=0.000782)","Location(x=-112.163170, y=-60.037186, z=0.000000)",5.870438575744629,177,1,1,5.596751815072862,0.11700171002221087,9.139469725312665,16.97283006638508
24,-44.72019278574115,"Location(x=-113.189835, y=-61.801777, z=0.000414)","Location(x=-112.351929, y=-61.881485, z=0.000000)",7.817790985107422,236,1,1,3.378207743005845,0.14914229380371322,7.353368289070204,10.082206042070528
25,-62.11885627299215,"Location(x=-113.217247, y=-62.175175, z=0.001358)","Location(x=-112.377426, y=-62.180061, z=0.000000)",14.714386463165283,445,1,1,1.6891046289088414,0.1597172352629756,6.976715221302584,9.307443809509278
26,-53.30291316079888,"Location(x=-113.207085, y=-62.297298, z=0.001479)","Location(x=-112.387604, y=-62.302689, z=0.000000)",11.872201442718506,359,1,1,2.05740961925744,0.16170617213171984,6.849007176060695,9.33380069732666
