episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed,throttle_diff
14,-5.0543523081645905,"Location(x=-109.361694, y=-4.880459, z=0.001152)","Location(x=-110.363365, y=-4.919975, z=0.000000)",11.335528373718262,343,1,7,16.82351581010169,53.44177462160587,21.860756309800564,0.15000000000000002
15,-5.587068366555641,"Location(x=-109.322411, y=-42.578323, z=0.001153)","Location(x=-110.248749, y=-42.553932, z=0.000000)",4.551486968994141,137,1,1,12.406659803336368,15.715356210246682,21.295569318862206,0.6
16,-5.544056083855497,"Location(x=-109.834442, y=-49.548584, z=0.000639)","Location(x=-110.753548, y=-49.477417, z=0.000000)",3.195189952850342,96,1,1,9.919312243374566,8.784162898547947,20.463179781552903,0.55
17,-5.612711957349666,"Location(x=-111.258965, y=-21.138430, z=0.001327)","Location(x=-110.243202, y=-21.165981, z=0.000000)",8.373770952224731,253,1,1,15.77927697149633,37.13544831518084,22.02017718430323,0.55
18,-5.605138413940915,"Location(x=-113.123619, y=-61.876278, z=0.002155)","Location(x=-112.357910, y=-61.950439, z=0.000000)",2.9693915843963623,89,1,1,8.79304522751061,7.2113228514790535,20.475068563375274,0.75
19,-5.3917347091790715,"Location(x=-113.259911, y=-63.666443, z=0.000060)","Location(x=-112.495735, y=-63.695255, z=0.000000)",2.6007564067840576,78,1,1,7.654373273307074,5.479119428899139,20.736588096201128,0.55
20,-5.016153510229663,"Location(x=-109.565857, y=-47.305199, z=0.000309)","Location(x=-110.547874, y=-47.260880, z=0.000000)",3.5855889320373535,108,1,1,11.100512152505756,11.045882718637586,22.630493450202714,0.050000000000000044
21,-5.664434197582403,"Location(x=-109.291931, y=-37.893551, z=0.001423)","Location(x=-110.135796, y=-37.909466, z=0.000000)",5.607137203216553,161,1,1,13.648157780236671,20.371647579595447,22.473769533397213,0.75
22,-4.944077286876987,"Location(x=-112.937088, y=-59.101902, z=0.000411)","Location(x=-112.058952, y=-59.198746, z=0.000000)",3.490086078643799,105,1,1,10.34527705254708,9.99780850764364,21.627543007703924,0.15000000000000002
23,-5.7212949599104155,"Location(x=-113.140419, y=-60.487797, z=0.000530)","Location(x=-112.219902, y=-60.537827, z=0.000000)",3.2242116928100586,97,1,1,9.672547333125468,8.638518224935979,21.44256715515845,0.75
24,-5.449032349689304,"Location(x=-113.227036, y=-62.294521, z=0.001745)","Location(x=-112.387489, y=-62.301384, z=0.000000)",2.8619790077209473,86,1,1,8.676708742198299,6.845001929439604,20.410980048462125,0.55
25,-5.61371405232164,"Location(x=-113.207253, y=-61.135933, z=0.002058)","Location(x=-112.289101, y=-61.204655, z=0.000000)",3.1064791679382324,93,1,1,9.3330081548589,7.993179974146187,20.86438825007577,0.65
26,-4.845922103589032,"Location(x=-112.772552, y=-57.075466, z=0.000780)","Location(x=-111.772316, y=-57.211639, z=0.000000)",3.89552640914917,117,1,1,11.105032980125923,12.002100188285112,20.513949491080876,0.21155313253402708
27,-5.449972889607462,"Location(x=-111.477379, y=-4.783988, z=0.001432)","Location(x=-110.364166, y=-4.810974, z=0.000000)",11.377254009246826,344,1,2,16.832385652703127,53.48498306935653,21.778441054357472,0.3
