Episode,Memory Usage (%),CPU Usage (%),GPU Memory Usage (MB)
30,75.8,4.4,38.00244140625
30,75.8,4.4,38.00244140625
31,75.9,5.2,38.00244140625
31,75.9,5.2,38.00244140625
32,75.9,4.4,38.00244140625
32,75.9,4.4,38.00244140625
33,75.9,4.3,38.00244140625
33,75.9,4.3,38.00244140625
34,79.0,8.0,38.00244140625
34,79.0,8.0,38.00244140625
35,78.1,4.6,38.00244140625
35,78.1,4.6,38.00244140625
36,78.0,4.7,38.00244140625
36,78.0,4.7,38.00244140625
37,78.1,5.1,38.00244140625
37,78.1,5.1,38.00244140625
38,78.1,4.0,38.00244140625
38,78.1,4.0,38.00244140625
39,78.1,4.5,38.00244140625
39,78.1,4.5,38.00244140625
40,78.1,3.5,38.00244140625
40,78.1,3.5,38.00244140625
41,78.1,3.5,38.00244140625
41,78.1,3.5,38.00244140625
42,78.2,3.5,38.00244140625
42,78.2,3.5,38.00244140625
43,78.2,4.2,38.00244140625
43,78.2,4.2,38.00244140625
44,78.3,4.0,38.00244140625
44,78.3,4.0,38.00244140625
45,79.0,3.4,38.00244140625
45,79.0,3.4,38.00244140625
46,78.8,2.9,38.00244140625
46,78.8,2.9,38.00244140625
47,78.6,4.4,38.00244140625
47,78.6,4.4,38.00244140625
48,79.0,5.0,38.00244140625
48,79.0,5.0,38.00244140625
49,79.0,6.0,38.00244140625
49,79.0,6.0,38.00244140625
50,79.1,4.1,38.00244140625
50,79.1,4.1,38.00244140625
51,79.1,3.4,38.00244140625
51,79.1,3.4,38.00244140625
52,79.1,3.6,38.00244140625
52,79.1,3.6,38.00244140625
53,79.2,3.6,38.00244140625
53,79.2,3.6,38.00244140625
54,79.2,4.9,38.00244140625
54,79.2,4.9,38.00244140625
55,79.3,3.9,38.00244140625
55,79.3,3.9,38.00244140625
56,79.4,3.9,38.00244140625
56,79.4,3.9,38.00244140625
57,78.6,6.0,38.00244140625
57,78.6,6.0,38.00244140625
58,78.8,4.3,38.00244140625
58,78.8,4.3,38.00244140625
59,78.8,3.2,38.00244140625
59,78.8,3.2,38.00244140625
60,78.8,6.0,38.00244140625
60,78.8,6.0,38.00244140625
61,78.9,4.6,38.00244140625
61,78.9,4.6,38.00244140625
62,78.9,5.7,38.00244140625
62,78.9,5.7,38.00244140625
63,79.0,4.8,38.00244140625
63,79.0,4.8,38.00244140625
64,75.8,4.7,38.00244140625
64,75.8,4.7,38.00244140625
65,75.9,4.7,38.00244140625
65,75.9,4.7,38.00244140625
66,76.0,4.0,38.00244140625
66,76.0,4.0,38.00244140625
67,76.1,5.6,38.00244140625
67,76.1,5.6,38.00244140625
68,76.0,3.8,38.00244140625
68,76.0,3.8,38.00244140625
69,76.1,3.6,38.00244140625
69,76.1,3.6,38.00244140625
70,76.1,3.5,38.00244140625
70,76.1,3.5,38.00244140625
71,76.2,4.8,38.00244140625
71,76.2,4.8,38.00244140625
72,76.6,4.7,38.00244140625
72,76.6,4.7,38.00244140625
73,76.6,3.9,38.00244140625
73,76.6,3.9,38.00244140625
74,75.8,3.3,38.00244140625
74,75.8,3.3,38.00244140625
75,75.9,4.8,38.00244140625
75,75.9,4.8,38.00244140625
76,76.2,4.0,38.00244140625
76,76.2,4.0,38.00244140625
77,76.1,5.4,38.00244140625
77,76.1,5.4,38.00244140625
78,76.2,4.3,38.00244140625
78,76.2,4.3,38.00244140625
79,76.2,4.4,38.00244140625
79,76.2,4.4,38.00244140625
80,76.3,4.0,38.00244140625
80,76.3,4.0,38.00244140625
81,76.3,4.7,38.00244140625
81,76.3,4.7,38.00244140625
82,76.3,4.6,38.00244140625
82,76.3,4.6,38.00244140625
83,76.8,4.3,38.00244140625
83,76.8,4.3,38.00244140625
84,76.6,3.0,38.00244140625
84,76.6,3.0,38.00244140625
85,76.7,4.0,38.00244140625
85,76.7,4.0,38.00244140625
86,76.7,3.1,38.00244140625
86,76.7,3.1,38.00244140625
87,76.8,4.3,38.00244140625
87,76.8,4.3,38.00244140625
88,76.6,4.0,38.00244140625
88,76.6,4.0,38.00244140625
89,76.7,4.3,38.00244140625
89,76.7,4.3,38.00244140625
90,76.8,3.9,38.00244140625
90,76.8,3.9,38.00244140625
91,76.7,4.6,38.00244140625
91,76.7,4.6,38.00244140625
92,77.0,4.7,38.00244140625
92,77.0,4.7,38.00244140625
93,76.7,3.3,38.00244140625
