episode,reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed,total_distance,max_speed,throttle_diff
37,-5.449819375425415,"Location(x=-109.116013, y=-37.953766, z=0.001855)","Location(x=-110.136139, y=-37.969997, z=0.000000)",5.397356271743774,163,0,0,13.532035411101617,20.370401004329324,22.198587346595705,0.3858099381128947
38,-5.619092225494073,"Location(x=-113.083397, y=-61.127972, z=0.002171)","Location(x=-112.287056, y=-61.183838, z=0.000000)",3.0294196605682373,91,0,0,9.544314917666519,7.983102284371853,21.022826481716002,0.75
39,-5.37929882275125,"Location(x=-109.293327, y=-42.633213, z=0.000864)","Location(x=-110.251083, y=-42.607147, z=0.000000)",4.449018478393555,134,0,0,12.688612389858553,15.684923159191385,21.360360847773276,0.3674819270769755
40,-5.019166622699224,"Location(x=-113.141205, y=-62.007744, z=0.001668)","Location(x=-112.369293, y=-62.083427, z=0.000000)",2.8657333850860596,86,0,0,8.993303606250164,7.110888727009296,21.356860433835823,0.15000000000000002
41,-5.583691520834847,"Location(x=-109.559586, y=-46.365715, z=0.001032)","Location(x=-110.472687, y=-46.314091, z=0.000000)",3.7550160884857178,113,0,0,11.50866507489247,11.97709540789947,21.141251558350614,0.6166666666666667
42,-5.248150072634419,"Location(x=-109.221344, y=-37.073624, z=0.001490)","Location(x=-110.133392, y=-37.098572, z=0.000000)",5.440870761871338,164,0,0,13.981601575549428,21.204957952722907,20.584482148106293,0.2833333333333333
43,-4.896000060605715,"Location(x=-111.326225, y=-2.317406, z=0.001471)","Location(x=-110.382408, y=-2.345400, z=0.000000)",13.720685482025146,415,0,0,17.284253161204166,66.93166362633929,22.358529470474974,-0.1166666666666667
44,-4.545015084867553,"Location(x=-113.196381, y=-63.384319, z=0.000973)","Location(x=-112.474594, y=-63.396572, z=0.000000)",2.5974416732788086,78,0,0,8.04960780890402,5.761428286321461,21.333878418111595,-0.25
45,-5.446384812702102,"Location(x=-113.233849, y=-62.260490, z=0.003118)","Location(x=-112.384697, y=-62.267548, z=0.000000)",2.795837879180908,84,0,0,8.88931245718771,6.865629831794649,21.56893404655265,0.55
46,-5.156174549807592,"Location(x=-109.168457, y=-24.189943, z=0.001265)","Location(x=-110.220543, y=-24.229744, z=0.000000)",7.8767547607421875,236,0,0,15.628610595209842,34.05357377324253,21.729298117739546,0.08333333333333337
47,-5.097836210096685,"Location(x=-111.320076, y=-26.736515, z=0.000952)","Location(x=-110.201805, y=-26.763451, z=0.000000)",7.3130104541778564,221,0,0,15.480480692450486,31.607771021313965,20.896063657804262,-0.050000000000000044
48,-4.986109644053905,"Location(x=-109.286537, y=-43.073334, z=0.001730)","Location(x=-110.272202, y=-43.065144, z=0.000000)",4.314049482345581,130,0,0,12.75888728743262,15.250642622821033,22.62895698152795,-0.050000000000000044
49,-5.3260571150628655,"Location(x=-113.140915, y=-61.280231, z=0.000786)","Location(x=-112.302727, y=-61.344879, z=0.000000)",2.996692180633545,90,0,0,9.469369596199055,7.83516989974305,20.8581207421456,0.4166666666666667
50,-5.072837831895035,"Location(x=-113.084763, y=-61.343845, z=0.001834)","Location(x=-112.308380, y=-61.403942, z=0.000000)",3.000166416168213,90,0,0,9.377578148170901,7.768304503057152,21.197487533787683,0.21666666666666667
51,-5.106783307546431,"Location(x=-113.217667, y=-62.256985, z=0.002416)","Location(x=-112.384308, y=-62.262798, z=0.000000)",2.8330416679382324,85,0,0,8.79915019641571,6.865373629145324,20.650078479851956,0.21666666666666667
52,-5.183148085442099,"Location(x=-109.900200, y=-49.878021, z=0.000648)","Location(x=-110.787476, y=-49.804996, z=0.000000)",3.0968477725982666,93,0,0,9.89012618163549,8.463666403200477,20.85549416078526,0.21666666666666667
53,-5.242093396674492,"Location(x=-113.089088, y=-60.789463, z=0.001342)","Location(x=-112.252129, y=-60.839645, z=0.000000)",3.0921614170074463,93,0,0,9.728466114748452,8.317573236767203,21.428319439283833,0.35
54,-5.256093512383123,"Location(x=-113.187294, y=-62.354473, z=0.003359)","Location(x=-112.392220, y=-62.358845, z=0.000000)",2.796069622039795,84,0,0,8.783802230969295,6.774735366925597,21.476506759303046,0.4166666666666667
55,-5.074823592577154,"Location(x=-113.198883, y=-61.520969, z=0.001501)","Location(x=-112.326355, y=-61.596203, z=0.000000)",2.9613966941833496,89,0,0,9.294831308525314,7.604766394942999,21.490507605966563,0.15000000000000002
56,-4.974751193492342,"Location(x=-113.133858, y=-60.569309, z=0.000485)","Location(x=-112.228836, y=-60.620117, z=0.000000)",3.127053737640381,94,0,0,9.890063324792207,8.547854606993496,21.125167455949423,0.01666666666666672
57,-4.954957772955812,"Location(x=-109.344360, y=-43.587997, z=0.001176)","Location(x=-110.297760, y=-43.574272, z=0.000000)",4.251016616821289,128,0,0,12.497208910599923,14.737806668039411,21.325953516241675,-0.050000000000000044
58,-5.652693031797475,"Location(x=-109.243408, y=-43.622177, z=0.000309)","Location(x=-110.299202, y=-43.601768, z=0.000000)",4.2537596225738525,128,0,0,12.452942483964131,14.724660236854106,21.772307351055446,0.55
59,-5.57999005317188,"Location(x=-113.176178, y=-60.821213, z=0.000371)","Location(x=-112.256416, y=-60.880909, z=0.000000)",3.1279406547546387,94,0,0,9.58563422286829,8.295447418000549,21.702938062826853,0.6166666666666667
60,-5.5198805101968045,"Location(x=-113.050858, y=-60.399975, z=0.000622)","Location(x=-112.209061, y=-60.439278, z=0.000000)",3.163177013397217,95,0,0,9.951210201725845,8.70681488327682,21.106844981119963,0.6166666666666667
61,-5.268912310690788,"Location(x=-109.171967, y=-40.700333, z=0.001572)","Location(x=-110.182091, y=-40.700832, z=0.000000)",4.777778625488281,144,0,0,13.296813175399949,17.60941696120426,22.719442119266056,0.21666666666666667
62,-5.440469274571385,"Location(x=-112.629776, y=-55.803848, z=0.001834)","Location(x=-111.583885, y=-55.949612, z=0.000000)",3.986060619354248,120,0,0,12.01589125107061,13.28030749456957,20.469773574232487,0.35
63,-5.453555015793502,"Location(x=-109.381050, y=-43.306171, z=0.001223)","Location(x=-110.283707, y=-43.299610, z=0.000000)",4.4359660148620605,131,0,0,12.422213056411186,15.013364229351282,21.682784716504504,0.48333333333333334
64,-5.518462687332667,"Location(x=-109.339722, y=-42.639664, z=0.001629)","Location(x=-110.251427, y=-42.614788, z=0.000000)",4.41557240486145,133,0,0,12.820364378877613,15.679102186579257,22.476610255162196,0.55
65,-5.606182672924486,"Location(x=-109.220718, y=-35.983120, z=0.001009)","Location(x=-110.135483, y=-36.016357, z=0.000000)",5.706869602203369,172,0,0,13.99146621930511,22.289363068528473,22.080133609583072,0.6166666666666667
66,-5.369042988351363,"Location(x=-109.294518, y=-43.230259, z=0.000753)","Location(x=-110.279747, y=-43.219810, z=0.000000)",4.3845720291137695,132,0,0,12.41002465021049,15.103416584897786,22.37652624455979,0.35
67,-5.491184663876309,"Location(x=-109.251015, y=-28.058212, z=0.001306)","Location(x=-110.191940, y=-28.097347, z=0.000000)",9.098179578781128,275,0,0,16.204435794435685,41.20255914470181,21.72452676583101,0.48333333333333334
68,-4.931481728033834,"Location(x=-113.186440, y=-61.492111, z=0.001909)","Location(x=-112.323524, y=-61.565506, z=0.000000)",2.9588098526000977,89,0,0,9.326262375096686,7.6368697145953774,20.91752836762134,0.01666666666666672
69,-5.032904832493258,"Location(x=-113.175797, y=-60.933445, z=0.000777)","Location(x=-112.268143, y=-60.995163, z=0.000000)",3.0946218967437744,93,0,0,9.572247732991901,8.191881725564599,21.369910282689855,0.08333333333333337
70,-5.238233837488719,"Location(x=-112.695351, y=-57.318333, z=0.002538)","Location(x=-111.800629, y=-57.400379, z=0.000000)",3.655348539352417,110,0,0,11.626504605278408,11.76467428682372,22.761775693546184,0.2833333333333333
71,-4.884352261369372,"Location(x=-109.545944, y=-46.554512, z=0.002901)","Location(x=-110.486740, y=-46.498455, z=0.000000)",3.7205402851104736,112,0,0,11.414628623625466,11.781692428514361,22.00726868308605,-0.1166666666666667
72,-4.975354689319742,"Location(x=-109.092735, y=-37.419083, z=0.001123)","Location(x=-110.133926, y=-37.441402, z=0.000000)",5.440264701843262,164,0,0,13.725322497393421,20.871440620627254,22.122631522947575,-0.1166666666666667
73,-5.2093311236019595,"Location(x=-113.045799, y=-59.457066, z=0.000164)","Location(x=-112.106895, y=-59.572948, z=0.000000)",3.357495069503784,101,0,0,10.367619572086355,9.644506805576384,21.629026814749672,0.21666666666666667
74,-5.128844146838717,"Location(x=-109.034218, y=-40.659222, z=0.001275)","Location(x=-110.180847, y=-40.656517, z=0.000000)",4.876833915710449,147,0,0,13.084055499745826,17.70698524848558,22.165715574280657,-0.050000000000000044
75,-5.520482243694957,"Location(x=-113.076637, y=-61.638168, z=0.002485)","Location(x=-112.336098, y=-61.703133, z=0.000000)",2.928220510482788,88,0,0,9.244836755254596,7.476267801132053,21.18686588275379,0.6833333333333333
76,-4.657663151655055,"Location(x=-113.103165, y=-60.884975, z=0.001102)","Location(x=-112.262337, y=-60.938351, z=0.000000)",3.1743202209472656,92,0,0,9.714408676626528,8.223733644001186,22.16456630690779,-0.25
77,-4.616332077690215,"Location(x=-113.127235, y=-61.869720, z=0.001921)","Location(x=-112.357376, y=-61.944145, z=0.000000)",2.8941702842712402,87,0,0,9.058928554969508,7.253245458006859,20.504500754403235,-0.25
78,-5.255334202233349,"Location(x=-113.171509, y=-62.149910, z=0.002373)","Location(x=-112.374992, y=-62.151051, z=0.000000)",2.8316876888275146,85,0,0,8.942330009897386,6.9758846228942275,20.557778233024116,0.4166666666666667
79,-5.168676333314244,"Location(x=-109.830818, y=-49.367714, z=0.000259)","Location(x=-110.735596, y=-49.300518, z=0.000000)",3.1927220821380615,96,0,0,10.162028017677256,8.976500648073852,21.77697995155841,0.21666666666666667
80,-5.106000928976901,"Location(x=-109.241455, y=-37.844700, z=0.001021)","Location(x=-110.135536, y=-37.861481, z=0.000000)",5.3755927085876465,162,0,0,13.642907161804658,20.452680565882474,21.991175949969307,0.15000000000000002
81,-4.679633103918315,"Location(x=-113.002228, y=-60.439682, z=0.001066)","Location(x=-112.212975, y=-60.474697, z=0.000000)",3.163085460662842,95,0,0,9.898428239744279,8.66008132090792,21.17716448294083,-0.18333333333333335
82,-5.321173652341133,"Location(x=-112.958809, y=-59.709080, z=0.000407)","Location(x=-112.136780, y=-59.815815, z=0.000000)",3.2603261470794678,98,0,0,10.409742426561012,9.389024228323251,22.078653879231837,0.4166666666666667
83,-5.160939730627485,"Location(x=-109.109184, y=-38.520432, z=0.001642)","Location(x=-110.140587, y=-38.529427, z=0.000000)",5.172935724258423,156,0,0,13.707923009146867,19.77581654349342,20.64435534288757,0.08333333333333337
84,-4.7407970369477,"Location(x=-109.560112, y=-46.600967, z=0.002415)","Location(x=-110.490318, y=-46.544872, z=0.000000)",3.6879043579101562,111,0,0,11.495870582414891,11.739608822856098,22.243188265232476,-0.25
85,-5.563727838664042,"Location(x=-109.362762, y=-39.273621, z=0.001859)","Location(x=-110.150826, y=-39.300938, z=0.000000)",7.052541017532349,213,0,0,15.288908813540578,30.138902528211474,20.559736771907136,0.6833333333333333
86,-4.836279434392641,"Location(x=-113.214966, y=-62.346233, z=0.003358)","Location(x=-112.391701, y=-62.352612, z=0.000000)",2.7972774505615234,84,0,0,8.790997190472792,6.781724140048027,21.37397133551267,-0.050000000000000044
87,-4.903343368318916,"Location(x=-109.543304, y=-47.059273, z=0.000247)","Location(x=-110.527885, y=-47.018311, z=0.000000)",3.6271395683288574,109,0,0,11.239310352871009,11.288629663409665,22.131361469245473,-0.1166666666666667
88,-5.7110291063509555,"Location(x=-109.309624, y=-41.424355, z=0.001272)","Location(x=-110.204460, y=-41.417587, z=0.000000)",6.691081523895264,202,0,0,14.984208290077813,27.973674214445055,21.86996056981191,0.75
89,-5.061516920437285,"Location(x=-112.895470, y=-59.053993, z=0.001811)","Location(x=-112.051826, y=-59.144543, z=0.000000)",3.3924200534820557,102,0,0,10.661330538130388,10.037588007748127,20.33466019491096,0.21666666666666667
90,-5.639875225588366,"Location(x=-112.909607, y=-58.207199, z=0.001970)","Location(x=-111.933395, y=-58.292759, z=0.000000)",3.559298276901245,107,0,0,11.046185811917256,10.885904720053077,21.215794305966472,0.6166666666666667
91,-5.496384657029879,"Location(x=-109.334564, y=-43.425144, z=0.000654)","Location(x=-110.289467, y=-43.413692, z=0.000000)",4.400771856307983,129,0,0,12.534660285489178,14.898764371871948,21.695266109036556,0.48333333333333334
92,-4.739522771228331,"Location(x=-113.048691, y=-60.243759, z=-0.000020)","Location(x=-112.191216, y=-60.280128, z=0.000000)",3.1602330207824707,95,0,0,10.133619380892812,8.85884550632909,21.9968299574936,-0.17778755823771158
93,-5.605657861202726,"Location(x=-109.531860, y=-46.399509, z=0.004740)","Location(x=-110.475067, y=-46.345573, z=0.000000)",3.7224881649017334,112,0,0,11.56236838634543,11.942783529870212,22.34681693288528,0.6166666666666667
94,-5.098265564366136,"Location(x=-113.143311, y=-61.450794, z=0.001478)","Location(x=-112.319206, y=-61.518959, z=0.000000)",2.998507499694824,90,0,0,9.245696662925406,7.6670397880952805,21.258625410982678,0.21666666666666667
95,-4.820367195845011,"Location(x=-109.833649, y=-48.584126, z=0.000526)","Location(x=-110.661057, y=-48.535557, z=0.000000)",3.3252322673797607,100,0,0,10.577338496711961,9.748853447381407,22.1763390756152,-0.050000000000000044
96,-5.760705117797201,"Location(x=-109.200836, y=-41.026539, z=0.001478)","Location(x=-110.191605, y=-41.022858, z=0.000000)",4.813363552093506,145,0,0,12.905316138443137,17.285359386354685,21.979942606350743,0.75
97,-5.048176297129293,"Location(x=-113.004112, y=-59.966290, z=0.000804)","Location(x=-112.163170, y=-60.037186, z=0.000000)",3.228142738342285,97,0,0,10.228122605735589,9.13239326234907,21.081471781716605,0.13385340372721355
98,-4.90951926071654,"Location(x=-109.126122, y=-30.092581, z=0.001484)","Location(x=-110.176888, y=-30.132366, z=0.000000)",6.625000476837158,200,0,0,15.145680387719802,28.171479179523885,22.432538639971582,-0.18333333333333335
99,-5.620733199314931,"Location(x=-113.197411, y=-62.360306, z=0.003311)","Location(x=-112.392761, y=-62.365471, z=0.000000)",2.8028647899627686,84,0,0,8.771838198212462,6.767660595942289,21.557595448955208,0.75
100,-5.342866104849742,"Location(x=-109.188950, y=-41.497704, z=0.001568)","Location(x=-110.206841, y=-41.486458, z=0.000000)",4.644029378890991,140,0,0,13.026973185457583,16.825471182819456,20.477664644196675,0.2833333333333333
101,-4.804218170524668,"Location(x=-109.247704, y=-40.391850, z=0.001823)","Location(x=-110.173965, y=-40.399136, z=0.000000)",6.859983682632446,207,0,0,15.1854406740547,29.00787029787898,20.457020519730253,-0.18333333333333335
102,-5.20649879065445,"Location(x=-109.250206, y=-41.732254, z=0.001593)","Location(x=-110.215149, y=-41.719078, z=0.000000)",4.61264705657959,139,0,0,13.0194626065382,16.590265495004132,22.146293616950373,0.21666666666666667
103,-5.195322188861939,"Location(x=-113.206856, y=-62.850639, z=0.003039)","Location(x=-112.432411, y=-62.856731, z=0.000000)",2.70052433013916,81,0,0,8.447460051406535,6.2830451601184905,21.91035219677685,0.35
104,-4.889219362925299,"Location(x=-109.204628, y=-40.940395, z=0.001358)","Location(x=-110.189026, y=-40.938141, z=0.000000)",4.745816946029663,143,0,0,13.125424248663883,17.372435722034425,21.758935402114833,-0.1166666666666667
