episode,speed,total_reward,vehicle_location,waypoint,duration,timesteps,collisions,lane_invasions,avg_speed
246,23.260897537092166,-14772.912450552143,"Location(x=200.838409, y=290.620392, z=0.307138)","Location(x=193.672714, y=290.615814, z=0.000000)",10.368241310119629,263,1,4,12.0010254282453
247,31.5695037000908,-15063.13190767523,"Location(x=53.336502, y=252.647202, z=0.326272)","Location(x=45.855488, y=252.647873, z=0.000000)",10.188857316970825,264,1,2,17.15250589368181
248,33.669745791747374,-15800.112424268747,"Location(x=-4.433251, y=86.980591, z=0.001786)","Location(x=1.288387, y=106.048225, z=0.000000)",16.123199462890625,374,0,16,20.986723592948966
249,25.79327756411119,-15722.867150052509,"Location(x=160.355362, y=299.376129, z=0.299237)","Location(x=160.356644, y=302.528107, z=0.000000)",25.9715518951416,673,1,18,11.724904155946072
250,26.657953486448584,-16201.254448668256,"Location(x=64.563820, y=251.090485, z=0.305374)","Location(x=64.570015, y=240.882767, z=0.000000)",12.575888395309448,320,1,12,15.351785177028685
251,39.19631748638166,-176.44111065530942,"Location(x=-12.200963, y=107.667397, z=0.324450)","Location(x=-6.124787, y=111.712372, z=0.000000)",12.45862078666687,325,1,15,22.75161182862779
252,29.10647533589784,-274.27226717847503,"Location(x=0.386434, y=262.105988, z=0.328073)","Location(x=-3.421752, y=262.109253, z=0.000000)",9.234829187393188,240,1,8,13.31382573900664
253,33.85233049691815,-437.4647523970391,"Location(x=45.001953, y=179.375504, z=0.137980)","Location(x=44.998192, y=187.572861, z=0.000000)",10.943631172180176,287,1,6,17.610225376849524
254,22.96090118131268,-695.153381764194,"Location(x=128.880066, y=180.188187, z=0.398611)","Location(x=128.876678, y=187.611313, z=0.000000)",10.200665950775146,256,1,5,11.67922102444315
255,23.091570500247457,-859.268931357865,"Location(x=50.292358, y=274.149872, z=0.324653)","Location(x=45.857353, y=274.150269, z=0.000000)",17.510640621185303,453,1,10,17.302920060164812
256,33.304376768264596,-999.1602015494451,"Location(x=35.212532, y=311.606140, z=0.323118)","Location(x=35.210239, y=306.539154, z=0.000000)",10.126945495605469,260,1,4,15.777607657780486
257,42.655722017127744,-1108.1788410970546,"Location(x=185.281616, y=205.700333, z=0.337529)","Location(x=189.689819, y=205.699326, z=0.000000)",23.19765019416809,587,1,8,11.44781837466887
258,28.926798285615796,-1221.4233314177036,"Location(x=132.673660, y=182.681519, z=0.348792)","Location(x=132.671402, y=187.613052, z=0.000000)",9.804276943206787,248,1,4,13.112513459706275
259,34.40417133164102,-1449.8047652055793,"Location(x=140.327194, y=177.001480, z=-0.018429)","Location(x=140.322342, y=187.616562, z=0.000000)",12.392368078231812,322,1,2,16.860755013502096
260,24.08881561276432,-1532.2367986995002,"Location(x=0.225701, y=260.280945, z=0.304147)","Location(x=-3.424651, y=260.284058, z=0.000000)",9.898578882217407,257,1,8,11.710233252022684
261,31.981996648501426,-2881.185419287422,"Location(x=209.405563, y=143.158310, z=0.302493)","Location(x=193.705933, y=143.147614, z=0.000000)",15.399213075637817,399,1,20,21.760392330178732
262,30.646226518479125,-3052.858260292618,"Location(x=0.486921, y=222.902527, z=0.327891)","Location(x=-3.446257, y=222.908630, z=0.000000)",16.648557901382446,428,1,14,20.778290361210097
263,25.063389318773805,-2665.149758378629,"Location(x=52.955811, y=307.004120, z=0.230002)","Location(x=52.955837, y=306.531464, z=0.000000)",39.37363910675049,1024,1,8,3.666121279739706
264,28.085065134138844,-2774.1038213087268,"Location(x=20.797886, y=103.592026, z=0.267829)","Location(x=20.792927, y=105.492249, z=0.000000)",7.280372858047485,185,1,9,11.909865730433465
265,20.401264811064717,-3123.2726609290457,"Location(x=54.436932, y=232.566635, z=0.338279)","Location(x=54.427807, y=236.876602, z=0.000000)",10.6783287525177,274,1,9,12.742011557674646
266,33.84228150519605,-3436.87001074554,"Location(x=167.008575, y=232.560486, z=0.324163)","Location(x=167.005920, y=236.944977, z=0.000000)",13.807656049728394,349,1,8,19.858974746275678
267,26.387137332384764,-3593.5852434518274,"Location(x=145.122375, y=310.237030, z=0.325315)","Location(x=145.126022, y=306.549042, z=0.000000)",9.070901870727539,233,1,7,16.004266412892417
268,31.44704776297132,-5236.196823767412,"Location(x=28.683882, y=117.538292, z=0.001941)","Location(x=28.674105, y=109.463814, z=0.000000)",18.85723304748535,492,1,16,23.78441652894278
269,32.968510178665625,-4980.114414460695,"Location(x=151.672867, y=301.463440, z=0.241108)","Location(x=151.673309, y=302.540039, z=0.000000)",39.438886880874634,1004,1,18,8.755126193902969
270,40.58256781695321,-4668.961843403451,"Location(x=189.432373, y=307.703552, z=0.273441)","Location(x=187.546158, y=304.709106, z=0.000000)",33.57059121131897,913,1,8,4.977886084236433
271,27.61009950403624,-5052.470787572201,"Location(x=200.370071, y=307.844452, z=0.305325)","Location(x=191.614227, y=301.201721, z=0.000000)",10.459212064743042,286,1,8,16.527151379498825
272,22.43739046947937,-5368.532936124093,"Location(x=-11.668093, y=110.698036, z=0.327247)","Location(x=-6.660084, y=112.866341, z=0.000000)",28.4714093208313,781,1,40,22.810993936376057
273,26.654465277175376,-5517.087937591325,"Location(x=160.138214, y=195.731369, z=0.323599)","Location(x=160.140091, y=191.625641, z=0.000000)",8.281816244125366,222,1,8,11.385433426217364
274,27.973071232654192,-6081.440643504361,"Location(x=15.195910, y=318.519989, z=0.317950)","Location(x=15.187752, y=306.552795, z=0.000000)",22.414785385131836,560,1,28,22.516626019140823
275,30.966338584355604,-6166.317328853599,"Location(x=131.370911, y=181.569290, z=0.359400)","Location(x=131.368149, y=187.612457, z=0.000000)",16.972981452941895,454,1,6,9.730570519970026
276,32.87325051944683,-6483.613214929101,"Location(x=184.976532, y=178.242950, z=0.326010)","Location(x=189.683609, y=178.250259, z=0.000000)",14.035969972610474,377,1,8,10.882652076998532
277,40.030944073407134,-6688.113929044639,"Location(x=191.965134, y=307.659180, z=0.305953)","Location(x=189.118439, y=303.661621, z=0.000000)",34.384552001953125,916,1,21,22.150615488729507
278,26.72025941970499,-6143.566569992127,"Location(x=0.176982, y=271.347290, z=0.309605)","Location(x=-3.407077, y=271.350342, z=0.000000)",41.852851152420044,1149,1,14,5.16080524999071
279,33.10301254348999,-6136.298509985916,"Location(x=-11.448281, y=187.175705, z=0.308684)","Location(x=-7.454325, y=187.174805, z=0.000000)",9.927986145019531,273,1,2,15.696860173326062
280,24.262701456377158,-5993.090114223689,"Location(x=46.898243, y=292.033325, z=0.243351)","Location(x=45.858910, y=292.033417, z=0.000000)",16.41711115837097,450,1,5,4.413997098419139
281,24.228464066409614,-6809.72471674451,"Location(x=-7.120985, y=87.840317, z=0.001924)","Location(x=0.167161, y=106.425636, z=0.000000)",13.668275117874146,373,0,9,9.840474106240679
282,25.774910870843666,-7976.553927085437,"Location(x=48.592339, y=97.725182, z=0.001905)","Location(x=48.600124, y=105.392189, z=0.000000)",22.168746948242188,578,1,10,9.539563235366641
283,41.53610554718951,-7957.209331583668,"Location(x=139.776947, y=198.750870, z=0.288585)","Location(x=136.150787, y=198.698975, z=0.000000)",9.966458320617676,248,1,2,16.66318549412958
284,37.57098850059945,-8073.082246619622,"Location(x=38.235981, y=238.235672, z=0.296286)","Location(x=41.854237, y=238.235352, z=0.000000)",14.822391033172607,382,1,6,22.932339720105222
285,17.017632395580108,-7960.9671149153455,"Location(x=188.193939, y=105.848122, z=0.236703)","Location(x=187.543045, y=106.973656, z=0.000000)",12.496587991714478,322,1,9,12.763179125273018
286,26.489209837501733,-7895.0670474800345,"Location(x=189.400421, y=106.930717, z=0.226426)","Location(x=188.812927, y=107.786598, z=0.000000)",7.851547956466675,202,1,7,8.591920915805117
287,25.98978770707007,-7924.248113913923,"Location(x=190.458237, y=307.753693, z=0.281875)","Location(x=188.382843, y=304.189758, z=0.000000)",6.333178281784058,164,1,8,9.559604717507419
288,33.20550928066978,-7903.849535073891,"Location(x=139.509659, y=227.887634, z=0.290492)","Location(x=136.121201, y=227.884201, z=0.000000)",18.48062777519226,460,1,10,8.998814282369672
289,28.175088670543914,-7551.100323645667,"Location(x=192.427139, y=307.774506, z=0.313094)","Location(x=189.364212, y=303.478516, z=0.000000)",38.26508951187134,978,1,12,6.211858406798039
290,19.547795919863997,-7768.61945669054,"Location(x=-10.574856, y=309.681000, z=0.316341)","Location(x=-4.339324, y=303.494507, z=0.000000)",8.682461500167847,229,1,9,10.317113956042451
291,30.997223476007704,-7975.017533619595,"Location(x=38.388290, y=178.739807, z=0.056161)","Location(x=38.384239, y=187.569824, z=0.000000)",13.769961833953857,348,1,10,14.93532107848549
292,49.14861858639645,-8577.56583388284,"Location(x=176.728821, y=90.041122, z=0.334264)","Location(x=176.727509, y=105.423241, z=0.000000)",53.994455099105835,1351,1,26,10.064615455025644
293,26.68609230886811,-8677.548846352489,"Location(x=81.723320, y=232.136383, z=0.322165)","Location(x=81.720436, y=236.893173, z=0.000000)",10.417806625366211,262,1,8,10.058483379294762
294,25.05076253053429,-8851.179651851444,"Location(x=-12.453958, y=106.233139, z=0.322458)","Location(x=-5.483799, y=110.681381, z=0.000000)",17.3529109954834,430,1,25,17.230961621786758
295,35.07877753114968,-8798.277864038375,"Location(x=38.768486, y=178.664230, z=0.040933)","Location(x=38.764404, y=187.570007, z=0.000000)",51.06678223609924,1261,1,11,9.833639010555334
296,19.82733690613513,-8855.15554271799,"Location(x=-10.314389, y=309.811646, z=0.316501)","Location(x=-4.339324, y=303.494507, z=0.000000)",17.73176884651184,446,1,8,5.282547925825749
297,31.605589699388496,-8881.253947538593,"Location(x=37.773518, y=212.768204, z=0.330427)","Location(x=41.852028, y=212.767853, z=0.000000)",20.9390709400177,530,1,7,12.431319133896547
299,30.91863995719207,-8793.838088073806,"Location(x=-11.338629, y=197.841248, z=0.328184)","Location(x=-7.451917, y=197.840363, z=0.000000)",9.09311580657959,236,1,7,10.683862966351876
300,43.59335017865567,-9122.938406133557,"Location(x=122.621284, y=201.937149, z=0.326650)","Location(x=132.147476, y=201.946808, z=0.000000)",15.596867322921753,399,1,10,16.676796108596506
301,38.54751078540305,48.69501094288397,"Location(x=140.004074, y=196.376617, z=0.280627)","Location(x=136.400955, y=195.358734, z=0.000000)",14.72273564338684,371,1,4,14.379371964084664
302,36.7285273075591,97.80671168559975,"Location(x=38.297974, y=232.023117, z=0.300449)","Location(x=41.853695, y=232.022812, z=0.000000)",17.25283932685852,430,1,2,8.645209372436987
303,26.151579774030065,113.29735270028979,"Location(x=186.728531, y=105.462547, z=0.229848)","Location(x=186.268784, y=106.357292, z=0.000000)",11.958837270736694,300,1,12,12.893523666216222
304,33.9221538513013,-30.661422505770773,"Location(x=185.496536, y=139.670761, z=0.325941)","Location(x=189.710632, y=139.674484, z=0.000000)",17.55600333213806,434,1,13,20.337313732854597
305,33.83388386982266,-173.49082080603966,"Location(x=-13.553597, y=149.979446, z=0.303785)","Location(x=-7.432911, y=149.988617, z=0.000000)",9.373270273208618,240,1,11,11.35088320234823
306,38.184948865037576,-138.85675664615422,"Location(x=119.935730, y=227.762589, z=0.455233)","Location(x=119.930168, y=236.916382, z=0.000000)",33.824549198150635,846,1,2,5.8756845028769185
307,29.46664892548365,-14.450945618013257,"Location(x=-10.878078, y=189.813843, z=0.281060)","Location(x=-7.453730, y=189.813065, z=0.000000)",27.045315980911255,692,1,4,6.125290176587258
308,30.603465434347918,-168.2710665586714,"Location(x=45.983501, y=167.628235, z=0.001869)","Location(x=45.974354, y=187.573303, z=0.000000)",34.76454401016235,875,0,2,6.150352533837956
309,40.16121388039055,-447.03881586997784,"Location(x=207.365799, y=171.892456, z=0.301806)","Location(x=193.682175, y=171.880356, z=0.000000)",20.78645610809326,509,1,9,7.606764244829523
310,35.84773330114027,-1059.7235005934087,"Location(x=138.856796, y=215.646011, z=0.270752)","Location(x=136.133606, y=215.643250, z=0.000000)",13.272470712661743,329,1,16,18.831708137254143
311,28.465419339711467,-861.045537645757,"Location(x=-5.858131, y=312.428955, z=0.318526)","Location(x=-1.986488, y=305.163300, z=0.000000)",19.691054344177246,510,1,8,5.236697891755694
312,40.31305603324728,-700.8467338716808,"Location(x=34.980530, y=298.294708, z=0.335626)","Location(x=34.983196, y=302.539307, z=0.000000)",40.748496294021606,1043,1,9,15.017294296426087
313,38.22073496328276,-895.3565851254035,"Location(x=198.439743, y=308.002563, z=0.315213)","Location(x=191.186279, y=301.750793, z=0.000000)",14.741963624954224,370,1,12,16.94868768757938
314,39.44784444189654,-976.6399715115801,"Location(x=37.964989, y=242.739426, z=0.310155)","Location(x=41.854626, y=242.739090, z=0.000000)",13.389207363128662,335,1,8,21.747897824167392
315,29.12183426687579,-1009.1251618499812,"Location(x=-11.018231, y=189.539795, z=0.293841)","Location(x=-7.453792, y=189.538986, z=0.000000)",21.053502798080444,531,1,8,21.19945950168974
316,29.095326042724754,-1053.9913047291034,"Location(x=32.076004, y=300.380005, z=0.294379)","Location(x=32.077477, y=302.541290, z=0.000000)",8.361220359802246,204,1,7,10.293240296888934
317,42.572051916747235,-1832.3789903668492,"Location(x=182.690842, y=144.177048, z=0.255713)","Location(x=189.704514, y=144.183243, z=0.000000)",37.43726086616516,925,1,8,7.759618820943325
318,43.93204727611658,-1940.867805697334,"Location(x=159.953705, y=288.819458, z=0.277147)","Location(x=159.959229, y=302.528656, z=0.000000)",33.26290678977966,832,1,18,10.043313799822423
319,27.073217713941037,-1903.8193077856588,"Location(x=81.443756, y=183.304123, z=0.319755)","Location(x=81.441788, y=187.589569, z=0.000000)",16.04042911529541,397,1,7,5.591855254867826
320,35.43894870309887,-1549.3440075359495,"Location(x=49.091351, y=205.600372, z=0.334971)","Location(x=45.851402, y=205.600662, z=0.000000)",54.28251385688782,1358,1,8,5.337208619641535
321,28.6649235023789,-1589.8378865027494,"Location(x=79.469673, y=232.504715, z=0.329012)","Location(x=79.467018, y=236.891815, z=0.000000)",12.099034547805786,298,1,8,7.99710999132825
322,23.78847076625368,-1032.9774845934583,"Location(x=-11.953352, y=114.880135, z=0.326800)","Location(x=-7.274117, y=115.270645, z=0.000000)",50.99722671508789,1286,1,16,4.431224807338333
323,33.61860457964121,-1104.2619802420525,"Location(x=-12.643809, y=307.428772, z=0.316906)","Location(x=-5.296216, y=302.460571, z=0.000000)",13.863000631332397,346,1,13,12.654440933678899
324,41.76031743006354,-1193.1925269730857,"Location(x=10.006769, y=319.565186, z=0.317740)","Location(x=9.997901, y=306.556335, z=0.000000)",35.92687368392944,829,1,18,11.135394972605384
325,39.47672904604958,-1636.1508562732854,"Location(x=122.590790, y=291.115631, z=0.321573)","Location(x=122.598831, y=302.555084, z=0.000000)",18.462595224380493,459,1,9,8.900515557496734
326,30.353041516891324,-760.7600123557606,"Location(x=47.107601, y=291.622681, z=0.248576)","Location(x=45.858871, y=291.622803, z=0.000000)",55.5026798248291,1382,1,5,1.4323627257743898
327,15.227986846125448,-644.7348748621107,"Location(x=189.403290, y=106.649147, z=0.240657)","Location(x=188.684662, y=107.694191, z=0.000000)",7.876506805419922,197,1,6,8.533723304353671
329,19.86436907788152,33.65890948364659,"Location(x=80.195572, y=232.566727, z=0.321463)","Location(x=80.192940, y=236.892258, z=0.000000)",55.23853802680969,1352,1,7,1.844581089792344
330,36.368939357933655,-98.55271932330113,"Location(x=123.729782, y=181.511658, z=0.258361)","Location(x=123.726997, y=187.608948, z=0.000000)",11.12818169593811,273,1,8,13.315115025920761
331,36.71490478896392,89.41440334704477,"Location(x=37.976219, y=239.391708, z=0.308920)","Location(x=41.854336, y=239.391373, z=0.000000)",33.79914379119873,853,1,4,4.277739145134365
332,26.088573522281727,120.04353991104915,"Location(x=37.903545, y=233.153427, z=0.326704)","Location(x=41.853794, y=233.153076, z=0.000000)",18.446238040924072,467,1,8,9.439684212748697
333,24.544552464518844,276.70542707231215,"Location(x=0.240562, y=234.394913, z=0.313288)","Location(x=-3.443662, y=234.400787, z=0.000000)",23.48409938812256,596,1,9,3.1680330848402467
334,28.06823985172378,146.60826564819232,"Location(x=112.026062, y=182.133240, z=0.280900)","Location(x=112.023544, y=187.603592, z=0.000000)",7.612943649291992,192,1,7,12.666851124904015
335,27.219213476562462,104.58506055009398,"Location(x=49.955276, y=274.458130, z=0.329378)","Location(x=45.857380, y=274.458496, z=0.000000)",10.54819655418396,271,1,6,7.753706998261105
336,33.320457298770684,14.000205202990081,"Location(x=107.399223, y=199.342087, z=0.259108)","Location(x=107.402771, y=191.601471, z=0.000000)",18.810402631759644,463,1,11,14.523584119120624
337,40.93834486750644,-124.44329340531273,"Location(x=-3.648428, y=313.209595, z=0.319151)","Location(x=-0.564047, y=305.809174, z=0.000000)",10.970659494400024,286,1,8,12.480752786745189
338,24.746547476033147,274.087489924202,"Location(x=140.637207, y=221.275879, z=0.329295)","Location(x=136.127899, y=221.271301, z=0.000000)",32.326385259628296,808,1,8,2.9996790547701093
339,28.90651839426915,409.99235735635284,"Location(x=24.940351, y=110.401367, z=0.236458)","Location(x=24.939184, y=109.477303, z=0.000000)",14.563449382781982,372,1,9,4.016121147722649
340,13.669291485843365,543.7040722523291,"Location(x=186.971207, y=105.423805, z=0.235226)","Location(x=186.499435, y=106.455666, z=0.000000)",10.631804704666138,265,1,6,7.2390543555858065
341,24.77360355371513,952.8578550635145,"Location(x=0.186976, y=235.230743, z=0.308760)","Location(x=-3.443473, y=235.236572, z=0.000000)",29.33703351020813,748,1,8,2.6372111930442874
342,24.900689149160698,930.4036889750205,"Location(x=191.375732, y=307.686401, z=0.289833)","Location(x=188.688675, y=303.978058, z=0.000000)",6.786210060119629,172,1,8,9.135038849323722
343,38.19781106048182,746.7389440424615,"Location(x=184.140137, y=140.796066, z=0.344142)","Location(x=189.709106, y=140.800980, z=0.000000)",16.757142066955566,420,1,9,20.483679902919118
344,37.90152224096638,653.903867369752,"Location(x=39.488804, y=178.734833, z=0.077630)","Location(x=39.484753, y=187.570328, z=0.000000)",45.25163245201111,1126,1,24,10.943983618988534
345,28.74219054613492,1657.2872024277394,"Location(x=0.153730, y=250.569916, z=0.306402)","Location(x=-3.439942, y=250.574554, z=0.000000)",68.13937211036682,1714,1,8,1.211847776304354
346,50.68744816655641,788.5652882769544,"Location(x=-27.431671, y=228.455383, z=0.276555)","Location(x=-7.445008, y=228.438293, z=0.000000)",19.060452461242676,473,0,10,11.599833817449802
347,38.75024490136385,613.7087474960094,"Location(x=5.484020, y=150.604279, z=0.327090)","Location(x=-3.434266, y=150.595871, z=0.000000)",20.110440731048584,496,1,17,11.525139720456542
348,22.255151913217958,-2695.694190527554,"Location(x=90.150261, y=129.409775, z=0.001826)","Location(x=90.117447, y=109.417885, z=0.000000)",17.866559505462646,450,0,10,16.425701505010483
349,42.06463524369734,-2360.6145602755114,"Location(x=138.966629, y=176.985870, z=0.224801)","Location(x=138.961761, y=187.615936, z=0.000000)",44.06867074966431,1092,1,4,3.893292644649932
350,40.64616060577873,-2678.737100541605,"Location(x=5.771468, y=317.784210, z=0.316616)","Location(x=5.763816, y=306.559204, z=0.000000)",21.10170555114746,531,1,10,17.847746122384272
351,41.33739145959812,-228.37375889707565,"Location(x=38.260368, y=204.175232, z=0.294846)","Location(x=41.851280, y=204.174927, z=0.000000)",17.26974320411682,430,1,19,14.673334388493316
352,26.016525428523984,-273.34182328482257,"Location(x=79.095001, y=183.315628, z=0.323672)","Location(x=79.093033, y=187.588501, z=0.000000)",10.053134679794312,247,1,7,8.028256133554844
354,37.6973722554375,-197.46825760762636,"Location(x=4.395813, y=314.518585, z=0.318451)","Location(x=4.442174, y=306.560120, z=0.000000)",10.831165313720703,279,1,7,10.247153824654491
355,31.917025668058645,75.1589101243237,"Location(x=123.014893, y=178.731689, z=0.014081)","Location(x=123.010818, y=187.608627, z=0.000000)",37.13002419471741,916,1,8,2.8051833259257295
356,29.49371389404361,392.32068686118504,"Location(x=43.534996, y=109.979431, z=0.221573)","Location(x=43.534199, y=109.410172, z=0.000000)",28.270493268966675,710,1,9,2.003145650860721
357,31.411646318240567,317.5935277846082,"Location(x=38.264751, y=236.967667, z=0.294447)","Location(x=41.854126, y=236.967346, z=0.000000)",20.24479913711548,501,1,6,17.484318612811794
358,26.177373487292954,1011.0897888133292,"Location(x=0.374293, y=235.056671, z=0.326842)","Location(x=-3.443512, y=235.062668, z=0.000000)",42.705188274383545,1046,1,7,1.8779654799670877
359,20.411136337232048,999.373037335179,"Location(x=192.458221, y=307.771423, z=0.319023)","Location(x=189.390656, y=303.458710, z=0.000000)",11.677274227142334,289,1,8,5.527563379021651
360,28.44679070665291,1161.2088557208124,"Location(x=-10.606113, y=191.777023, z=0.273413)","Location(x=-7.453286, y=191.776306, z=0.000000)",30.981646060943604,761,1,2,3.9329868808592177
361,36.21022255632841,936.8580015928959,"Location(x=-13.936135, y=126.819145, z=0.326128)","Location(x=-7.380843, y=126.828987, z=0.000000)",46.756556272506714,1160,1,34,21.31315164314115
362,27.279624376207614,727.5851979226205,"Location(x=54.114964, y=233.098572, z=0.338960)","Location(x=54.106964, y=236.876419, z=0.000000)",9.706841945648193,241,1,6,11.022631096500838
363,32.95192274939873,980.6693141360946,"Location(x=53.488430, y=221.812012, z=0.266262)","Location(x=45.852810, y=221.812668, z=0.000000)",33.9712176322937,844,1,8,2.8701116227099703
364,38.32696269726218,908.7686474189189,"Location(x=76.913887, y=244.673721, z=0.320475)","Location(x=76.916183, y=240.890259, z=0.000000)",32.30512022972107,786,1,13,13.674249931862912
365,25.67323222304449,940.5479043948411,"Location(x=28.231594, y=298.870667, z=0.321416)","Location(x=28.234098, y=302.543915, z=0.000000)",11.770307779312134,286,1,7,6.26385289663881
366,31.306798186176408,891.5370328958198,"Location(x=169.108154, y=181.327866, z=0.219620)","Location(x=169.105270, y=187.629745, z=0.000000)",12.224720478057861,303,1,8,7.959418105453164
367,26.537720138830768,1726.6954497826314,"Location(x=197.531616, y=289.270966, z=0.329084)","Location(x=193.673630, y=289.268494, z=0.000000)",96.63524627685547,2389,1,28,10.243215043268322
368,28.170360758179882,1941.5480521428053,"Location(x=0.292737, y=229.138474, z=0.309365)","Location(x=-3.444849, y=229.144394, z=0.000000)",28.116721153259277,707,1,7,3.395983263388034
369,27.60099329546704,1619.4500941076747,"Location(x=50.583096, y=251.167862, z=0.326099)","Location(x=45.855358, y=251.168289, z=0.000000)",13.851067304611206,342,1,8,7.986502284610133
370,26.57178297175767,2621.5362601293705,"Location(x=85.952133, y=233.135635, z=0.321063)","Location(x=85.949852, y=236.895752, z=0.000000)",75.79914689064026,1848,1,7,1.0639716048905692
371,52.40232643025124,1653.0680710242211,"Location(x=213.390854, y=201.833298, z=0.301647)","Location(x=193.688950, y=201.837753, z=0.000000)",15.31324291229248,375,0,8,14.02526924777216
372,27.465892814222926,1628.966859321949,"Location(x=30.022264, y=298.755188, z=0.326096)","Location(x=30.024843, y=302.542694, z=0.000000)",10.44605803489685,253,1,7,7.7476137512348435
373,39.00302828084321,2020.7499811073408,"Location(x=207.288635, y=172.461380, z=0.301732)","Location(x=193.682297, y=172.449356, z=0.000000)",63.133524656295776,1532,1,17,3.226697119410841
